Property Name,Escrow close
Bayne,2/3/2025
Clark,1/17/2025
Boxwood,2/18/2025
Arcola,2/27/2025
Sambino,2/25/2025
Sonny,1/29/2025
Presidio,2/24/2025
Cranberry,3/21/2025
Shawnee,3/18/2025
Pumpkin,3/31/2025
