Property Name,Date,Valuation
Peanut,12/31/2022,8.54
Chelsea,12/31/2022,9.7
Hadden,12/31/2022,11.04
Hollandaise,12/31/2022,9.44
Terracotta,12/31/2022,10.35
Avebury,12/31/2022,10.66
Otoro,12/31/2022,10.32
100,12/31/2022,9.54
Grove,12/31/2022,9.08
Lanier,12/31/2022,11.04
Mammoth,12/31/2022,10.18
McGregor,12/31/2022,9.93
Point,12/31/2022,10.56
Roxy,12/31/2022,8.96
Wisteria,12/31/2022,9.75
Heritage,12/31/2022,9.43
Heron,12/31/2022,10.35
Kirkwood,12/31/2022,10.2
Magnolia,12/31/2022,8.66
Rosewood,12/31/2022,9.31
Stonebriar,12/31/2022,9.35
Apollo,12/31/2022,10.14
Baron,12/31/2022,8.68
Madison,12/31/2022,10.13
Swift,12/31/2022,9.96
Wescott,12/31/2022,9.51
Wildwood,12/31/2022,9.69
Lannister,12/31/2022,8.9
Pearl,12/31/2022,10.14
Nugget,12/31/2022,9
Burlington,12/31/2022,9.42
Abbington,12/31/2022,9.15
Hines,12/31/2022,9.84
101,12/31/2022,9.5
Jake,12/31/2022,9.35
Holcomb,12/31/2022,9.79
Reynolds,12/31/2022,9.25
Kennesaw,12/31/2022,9.29
Pioneer,12/31/2022,9.25
Osprey,12/31/2022,9.76
Delta,3/31/2023,10.72
Emporia,3/31/2023,10.72
Lovejoy,3/31/2023,11.69
Wave,3/31/2023,10.5
Grant,3/31/2023,13.42
Lallie,3/31/2023,12.33
Summerset,3/31/2023,13.5
Spencer,3/31/2023,12.97
Windsor,3/31/2023,12.42
Roseberry,3/31/2023,11.85
Sugar,3/31/2023,12.22
Forest,3/31/2023,12.37
Butter,3/31/2023,10.69
Centennial,3/31/2023,13.25
Meadow,3/31/2023,10.84
Collinston,3/31/2023,11.74
Saturn,3/31/2023,11.86
Amber,3/31/2023,11.08
Jupiter,3/31/2023,11.96
Weldon,3/31/2023,12.38
Holland,3/31/2023,12.46
Davidson,3/31/2023,12.37
Ribbonwalk,3/31/2023,11.02
Saddlebred,3/31/2023,10.41
Lily,3/31/2023,10.83
Kingsley,3/31/2023,12.95
Eastfair,3/31/2023,13.96
Luna,3/31/2023,14.16
Dewberry,3/31/2023,12.53
Badminton,3/31/2023,14.11
Coatbridge,3/31/2023,11.91
Lennox,3/31/2023,10.72
Olive,3/31/2023,11.36
Dawson,3/31/2023,10.84
Ridge,3/31/2023,12.66
Bayside,3/31/2023,12.59
Elm,3/31/2023,13.77
Westchester,3/31/2023,12.01
Limestone,3/31/2023,12.68
Greenhill,3/31/2023,12.19
Tuxford,3/31/2023,10.29
Matchingham,3/31/2023,12.93
Murphy,3/31/2023,12.54
Dolittle,3/31/2023,11.98
Odessa,3/31/2023,10.93
Ensenada,3/31/2023,10.85
Oly,3/31/2023,11.24
McLovin,3/31/2023,11.25
Holloway,3/31/2023,13.8
Basil,3/31/2023,12.88
Shoreline,3/31/2023,12.29
River,3/31/2023,13.68
Elevation,3/31/2023,13.02
Vernon,3/31/2023,11.2
Kawana,3/31/2023,11.35
Plumtree,3/31/2023,14.36
Chaparral,3/31/2023,14.71
Lierly,3/31/2023,20.1
Patrick,3/31/2023,13.1
Soapstone,3/31/2023,19.61
Pecan,3/31/2023,14.61
Splash,3/31/2023,13.22
Malbec,3/31/2023,12.88
Pinot,3/31/2023,12.67
Salem,3/31/2023,13.8
Tuscan,3/31/2023,11.6
Mojave,3/31/2023,12.19
Wentworth,3/31/2023,12.05
Cupcake,3/31/2023,13.86
Rooney,3/31/2023,10.95
KerriAnn,3/31/2023,10.72
Sigma,3/31/2023,11.46
Saint,3/31/2023,11.64
Scepter,3/31/2023,13.59
Bandelier,3/31/2023,11.55
Diablo,3/31/2023,9.63
Tulip,3/31/2023,9.97
Jack,3/31/2023,11.84
Bedford,3/31/2023,12.07
Louise,3/31/2023,9.34
Gardens,3/31/2023,8.22
Peanut,3/31/2023,8.06
Chelsea,3/31/2023,10.65
Hadden,3/31/2023,10.79
Hollandaise,3/31/2023,10.1
Terracotta,3/31/2023,10.46
Avebury,3/31/2023,10.5
Otoro,3/31/2023,10.55
100,3/31/2023,9.48
Grove,3/31/2023,9.05
Lanier,3/31/2023,11.15
Mammoth,3/31/2023,10.84
McGregor,3/31/2023,9.98
Point,3/31/2023,10.9
Roxy,3/31/2023,10.39
Wisteria,3/31/2023,10.65
Heritage,3/31/2023,10.3
Heron,3/31/2023,11.38
Kirkwood,3/31/2023,10.53
Magnolia,3/31/2023,9.67
Rosewood,3/31/2023,9.55
Stonebriar,3/31/2023,9.32
Apollo,3/31/2023,10.72
Baron,3/31/2023,8.74
